HITId	HITTypeId	FileNumber	Downloaded
3MA5N0ATTCBBAID9KEQDG7KD0N3KW3	3I4ILQYF9L02PU6SL7YESMMVB816XL	nonUSaudio+photoresult_0.50_0003.png	2
324N5FAHSXBYVTD4U4LHU51ZTE1KVT	3I4ILQYF9L02PU6SL7YESMMVB816XL	nonUSaudio+photoresult_0.50__2_0001.jpg	1
